                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.65431,                0.50715,                 1.0715,                0.78944,                0.80871,                0.83032,                0.69468,                0.64151,                0.48669,                 1.0248,             0.00070344,             0.00070344,             0.00070344
                     56,                0.65816,                0.50598,                 1.0734,                0.84393,                0.74632,                0.81434,                0.69017,                0.62622,                 0.4781,                 1.0152,             0.00069313,             0.00069313,             0.00069313
                     57,                0.66048,                0.51166,                  1.078,                0.81232,                0.80882,                0.82795,                0.68914,                 0.6166,                0.46467,                 1.0095,             0.00068281,             0.00068281,             0.00068281
                     58,                 0.6606,                 0.5065,                 1.0797,                0.91195,                0.73437,                 0.8347,                0.70728,                0.62203,                0.45987,                  1.009,              0.0006725,              0.0006725,              0.0006725
                     59,                0.64829,                0.50391,                 1.0718,                0.77006,                0.82084,                0.81404,                0.70205,                  0.609,                0.46148,                 1.0039,             0.00066219,             0.00066219,             0.00066219
                     60,                0.64613,                0.49733,                 1.0695,                0.91964,                0.73581,                0.81517,                0.69858,                0.60633,                0.45984,                 1.0057,             0.00065188,             0.00065188,             0.00065188
                     61,                0.63945,                0.49553,                 1.0643,                0.91876,                0.73615,                0.81737,                0.69637,                0.61668,                0.45662,                 1.0075,             0.00064156,             0.00064156,             0.00064156
                     62,                 0.6384,                0.48941,                 1.0634,                0.89038,                0.73407,                0.83509,                 0.7106,                0.60495,                0.44633,                0.99926,             0.00063125,             0.00063125,             0.00063125
                     63,                0.63256,                0.48455,                 1.0605,                0.96718,                0.73487,                0.82323,                0.70564,                0.60576,                0.45933,                 1.0045,             0.00062094,             0.00062094,             0.00062094
                     64,                0.63552,                0.48765,                 1.0651,                0.80462,                0.74357,                 0.8027,                0.69033,                0.59202,                0.44988,                0.99477,             0.00061062,             0.00061062,             0.00061062
                     65,                0.62834,                0.48387,                 1.0611,                0.87499,                0.73602,                 0.8054,                0.69747,                 0.5908,                 0.4451,                0.99371,             0.00060031,             0.00060031,             0.00060031
                     66,                0.63549,                0.48879,                 1.0597,                0.95502,                0.73616,                0.82857,                 0.7129,                0.58554,                0.44106,                 0.9907,                0.00059,                0.00059,                0.00059
                     67,                0.62292,                0.47998,                 1.0547,                0.90157,                0.73602,                0.82063,                0.71026,                 0.5857,                0.44141,                 0.9892,             0.00057969,             0.00057969,             0.00057969
                     68,                0.62097,                0.47448,                 1.0536,                0.83828,                0.77997,                 0.8389,                0.71836,                0.58429,                0.43321,                0.98938,             0.00056938,             0.00056938,             0.00056938
                     69,                0.61606,                0.46986,                 1.0501,                 0.8688,                0.74769,                0.82841,                0.71427,                0.59458,                0.45221,                0.99165,             0.00055906,             0.00055906,             0.00055906
                     70,                0.61889,                 0.4695,                 1.0557,                 0.8276,                0.77957,                0.82913,                0.72089,                0.59293,                 0.4344,                0.99308,             0.00054875,             0.00054875,             0.00054875
